This file was generated by export.m on 31-May-2016 14:53:10
while on branch 'marius' at commit 5493fd1d0.

inpath: C:\Data\Marius\2015\150423\frame20x_Ph_chipI_chan1-1.5h.BTF
dimensions: 1um = 3.099px (20.0x) and 1sec = 20.0frames.
trackParams:
    maxdisp: 11
        mem: 0
        dim: 2
       good: 10
      quiet: 1

filterPreTrack:
    Area: [24.9699 149.8193]

filterPostTrack:
          length: [30 400]
    displacement: [15.4950 Inf]


======================================================================
x	y	time	index	isturn
493.66	913.17	722	353	0
498.83	914.37	723	353	0
503.39	915.81	724	353	0
508.52	916.91	725	353	0
513.58	918.82	726	353	0
519.03	920.83	727	353	0
523.5	922.53	728	353	0
529	923.22	729	353	0
535.12	923.77	730	353	0
541	923.22	731	353	0
547.5	922.73	732	353	0
551.5	922.73	733	353	0
553.35	922.65	734	353	0
553.35	922.65	735	353	0
554.68	922.76	736	353	0
558.1	922	737	353	0
563	920.17	738	353	0
569	920.35	739	353	0
574.83	919.5	740	353	0
579.86	919.76	741	353	0
586.3	919.7	742	353	0
591.65	919.69	743	353	0
596.52	919.11	744	353	0
599.5	919.5	745	353	0
602.22	919	746	353	0
605.86	919.39	747	353	0
612	918.26	748	353	0
615.97	917.92	749	353	1
617	918	750	353	1
616.54	918.43	751	353	1
613.84	917.62	752	353	1
610	918.26	753	353	0
606	918.83	754	353	0
602.29	918.5	755	353	0
598	918	756	353	0
594.5	918	757	353	0
591.26	918.39	758	353	0
588.61	917.52	759	353	0
586.14	917	760	353	0
583.32	917.24	761	353	0
580.5	917	762	353	0
578.48	917.11	763	353	0
575.93	917.3	764	353	0
574.44	916.16	765	353	0
572.32	916.62	766	353	0
570.35	917.18	767	353	0
567.89	917.74	768	353	0
566.62	918.07	769	353	1
564.5	917.5	770	353	1
563.7	916.3	771	353	1
559.5	915.5	772	353	1
563.7	915.3	773	353	1
565.88	918.67	774	353	1
569.71	921	775	353	0
574	923.4	776	353	0
579.72	925.39	777	353	0
584.77	926.77	778	353	0
589.84	928.38	779	353	0
595.56	929.59	780	353	0
600.14	931.39	781	353	0
604.73	933.36	782	353	0
609.67	935.92	783	353	0
614.87	938.29	784	353	0
619.66	941.09	785	353	0
624.17	943.43	786	353	0
629	946.5	787	353	0
633.73	949.91	788	353	0
638.09	954	789	353	0
642.65	958.81	790	353	0
646.83	962.66	791	353	0
651.11	966.52	792	353	0
654.43	970.17	793	353	0
657.21	973.93	794	353	0
660.36	976.92	795	353	0
