This file was generated by export.m on 31-May-2016 14:53:27
while on branch 'marius' at commit 5493fd1d0.

inpath: C:\Data\Marius\2015\150423\frame20x_Ph_chipI_chan3-2h.BTF
dimensions: 1um = 3.099px (20.0x) and 1sec = 20.0frames.
trackParams:
    maxdisp: 11
        mem: 0
        dim: 2
       good: 10
      quiet: 1

filterPreTrack:
    Area: [24.9699 149.8193]

filterPostTrack:
          length: [30 400]
    displacement: [30.9900 Inf]


======================================================================
x	y	time	index	isturn
955.29	147.74	1453	239	0
954.65	145.62	1454	239	0
953.12	143.03	1455	239	0
952.24	140.9	1456	239	0
950.98	137.33	1457	239	0
949.1	134.02	1458	239	0
947.59	131	1459	239	0
946.17	128.4	1460	239	0
945.85	126.68	1461	239	0
944.61	124.85	1462	239	0
943.17	122	1463	239	0
942.49	119.86	1464	239	0
942.69	117.31	1465	239	0
943.21	116.16	1466	239	0
943.82	115.69	1467	239	0
944.33	114.42	1468	239	0
944.33	114.03	1469	239	0
944.49	114.67	1470	239	0
943.5	114.03	1471	239	0
942.08	113.28	1472	239	0
941.73	112.15	1473	239	0
940.95	111.45	1474	239	1
939.41	110.97	1475	239	1
938.59	110.89	1476	239	1
937.79	110.74	1477	239	1
937.67	111.83	1478	239	1
940.49	115.91	1479	239	0
943.31	119.51	1480	239	0
945.04	122.96	1481	239	0
947.46	125.8	1482	239	0
949.78	129.49	1483	239	0
951.7	133.62	1484	239	0
954.59	137.65	1485	239	0
958.32	141.78	1486	239	0
961.08	144.86	1487	239	0
964.67	148.45	1488	239	0
968.42	152.52	1489	239	0
971.83	156.69	1490	239	0
975.15	160.29	1491	239	0
977.58	163.97	1492	239	0
980.42	166.42	1493	239	0
984.38	169.21	1494	239	1
984.81	169.19	1495	239	1
983.79	167.97	1496	239	0
982.76	166.64	1497	239	0
983.19	165.81	1498	239	0
982.5	164.5	1499	239	0
981.5	163.5	1500	239	0
980	162.5	1501	239	0
979	161.5	1502	239	0
977.27	159.2	1503	239	0
975.5	157	1504	239	0
974.06	153.45	1505	239	0
973.15	150.27	1506	239	0
972.78	147	1507	239	0
973	144	1508	239	0
973.1	141.17	1509	239	0
973.45	138.17	1510	239	0
975	136	1511	239	0
976	133	1512	239	0
977.35	129.81	1513	239	0
979.28	127.34	1514	239	0
981.59	125.06	1515	239	0
984.37	122.9	1516	239	0
987.5	120.5	1517	239	0
989.81	119.35	1518	239	0
991.81	118.35	1519	239	0
993.38	116.91	1520	239	0
995.24	114.76	1521	239	0
997.36	113.21	1522	239	0
999.49	112.22	1523	239	1
1001.4	112.4	1524	239	1
997.09	116.47	1525	239	0
991.93	121.49	1526	239	0
987.74	126.67	1527	239	0
982.84	130.84	1528	239	0
978.52	135.63	1529	239	0
975.44	139.97	1530	239	0
972.92	142.86	1531	239	0
970.13	146.26	1532	239	0
968	149.5	1533	239	0
965.67	153.93	1534	239	0
962.09	158.47	1535	239	0
957.76	163.67	1536	239	0
953.77	166.72	1537	239	1
951.02	167.07	1538	239	1
953.32	166.85	1539	239	0
956.03	166.31	1540	239	0
958.26	164.47	1541	239	0
961.3	162.38	1542	239	0
964.16	160.24	1543	239	0
966.5	158	1544	239	0
969	154.59	1545	239	0
971.5	151.25	1546	239	0
973.91	149.48	1547	239	0
976.73	147.3	1548	239	0
979.16	145.16	1549	239	0
981.03	143.4	1550	239	0
982.5	142	1551	239	0
984.11	140.79	1552	239	0
986	139.21	1553	239	0
987.55	138.5	1554	239	0
989.51	137.58	1555	239	0
992.02	136.41	1556	239	0
994.43	134.98	1557	239	0
995.71	133.57	1558	239	0
997.74	131.46	1559	239	0
1000.4	129.78	1560	239	0
1002.1	128.58	1561	239	0
1003.9	127.53	1562	239	0
1005.2	126.31	1563	239	0
1006	124.47	1564	239	0
1007.8	123.37	1565	239	0
1009.6	120.96	1566	239	0
1010.7	119.1	1567	239	0
1012.8	117.29	1568	239	0
1015.4	115.74	1569	239	0
1018	114.26	1570	239	0
1020.1	114.04	1571	239	0
1021	113.43	1572	239	0
1024	111.43	1573	239	1
1025.2	110.68	1574	239	1
1023.3	114.85	1575	239	0
1021.2	121.3	1576	239	0
1019.4	127.37	1577	239	0
1017.3	133.32	1578	239	0
1015.7	139.15	1579	239	0
1013.5	145.15	1580	239	0
1011.8	150.86	1581	239	0
1009.2	156	1582	239	0
1006.6	160.35	1583	239	0
1005.9	163.53	1584	239	0
1003.1	168.14	1585	239	0
1001.2	174.2	1586	239	0
997.69	179.59	1587	239	0
994.33	183.27	1588	239	1
995.3	181.66	1589	239	0
997.16	179.46	1590	239	0
998.53	176.18	1591	239	0
1000.5	173.5	1592	239	0
1003.1	171.98	1593	239	0
1005.1	169.26	1594	239	0
1007.6	166.55	1595	239	0
1009.7	163.85	1596	239	0
1012.7	161.87	1597	239	0
1015.7	159.24	1598	239	0
1017	156.81	1599	239	0
1018.3	154.19	1600	239	0
1020	151.81	1601	239	0
1020.9	148.64	1602	239	0
1021.6	146.07	1603	239	0
1021.5	143.8	1604	239	0
1022.1	141.97	1605	239	0
1022.7	139.5	1606	239	1
1022.6	137.86	1607	239	1
1022.4	138.96	1608	239	0
1021.8	145.07	1609	239	0
1021.1	150.54	1610	239	0
1019.7	156.31	1611	239	0
1018.6	162.15	1612	239	0
1017.6	167.06	1613	239	0
1016.8	173.17	1614	239	0
1016.9	180.14	1615	239	0
1014.8	185.6	1616	239	0
1011.5	190.7	1617	239	0
1007.1	195.87	1618	239	0
1004.3	201.33	1619	239	0
1001.8	204.94	1620	239	1
1002.7	203.46	1621	239	0
1004.6	199.94	1622	239	0
1006.9	196.42	1623	239	0
1008.9	194.23	1624	239	0
1008.8	192.12	1625	239	0
1009.5	189	1626	239	0
1011.2	186.35	1627	239	0
1012.8	183.75	1628	239	0
1014.9	181.69	1629	239	0
1017.9	179.94	1630	239	0
1021.2	178.59	1631	239	0
1023.4	178.18	1632	239	0
1024.7	177.14	1633	239	0
1026.5	176.73	1634	239	0
1029.3	176	1635	239	0
1031.8	176.04	1636	239	0
1034	175.17	1637	239	0
1036	174.37	1638	239	0
1038.5	173.55	1639	239	0
1040.4	173.75	1640	239	0
1042.5	173.02	1641	239	0
1044.3	173.3	1642	239	0
1046.6	173	1643	239	0
1049	172.31	1644	239	0
1052	172.16	1645	239	0
1055.9	171.51	1646	239	0
1059.5	171.37	1647	239	0
1063.1	171.94	1648	239	0
1067	172.73	1649	239	1
1068.8	173.65	1650	239	1
1068.1	172.39	1651	239	1
1063.2	168.93	1652	239	0
1057.7	164.21	1653	239	0
1056.1	163.53	1654	239	1
1058.1	165.6	1655	239	0
1059.9	167.36	1656	239	0
1062.2	169.44	1657	239	0
1065.2	171.71	1658	239	0
1067.4	174.64	1659	239	0
1069.5	177.22	1660	239	0
1071.7	179.9	1661	239	0
1074.2	182.25	1662	239	0
1076.7	184.1	1663	239	0
1079.1	185.42	1664	239	1
1080	184.36	1665	239	1
1076.6	179.58	1666	239	0
1073.2	173.47	1667	239	0
1069.8	168.15	1668	239	0
1067.8	162.2	1669	239	0
1065.8	155.33	1670	239	0
1063	149.73	1671	239	0
1061.4	145.21	1672	239	0
1059.6	139.67	1673	239	0
1057	135	1674	239	0
1052.8	129.81	1675	239	0
1048.2	126.14	1676	239	0
1044.1	122.74	1677	239	0
1040	120	1678	239	0
1035.6	117.59	1679	239	0
1032.8	117.19	1680	239	1
1034.8	117.05	1681	239	0
1037.6	117.73	1682	239	0
1039.8	118.78	1683	239	0
